Title,Category,Price,Rating,Availability,Description,UPC,Number_of_Reviews,Product_URL
Roller Girl,Sequential Art,£14.10,Five,In stock,"For fans of Raina Telgemeier’s Smile, a heartwarming graphic novel about friendship and surviving junior high through the power of roller derby. Twelve-year-old Astrid has always done everything with her best friend Nicole. So when Astrid signs up for roller derby camp, she assumes Nicole will too. But Nicole signs up for dance camp with a new friend instead, and so begins For fans of Raina Telgemeier’s Smile, a heartwarming graphic novel about friendship and surviving junior high through the power of roller derby. Twelve-year-old Astrid has always done everything with her best friend Nicole. So when Astrid signs up for roller derby camp, she assumes Nicole will too. But Nicole signs up for dance camp with a new friend instead, and so begins the toughest summer of Astrid's life. There are bumps and bruises as Astrid learns who she is without Nicole...and what it takes to be a strong, tough roller girl. ...more",aeb51dfbe8aeec59,0,https://books.toscrape.com/catalogue/roller-girl_540/index.html
Adultery,Default,£20.88,Five,In stock,"I want to change. I need to change. I'm gradually losing touch with myself. Adultery, the provocative new novel by Paulo Coelho, best-selling author of The Alchemist and Eleven Minutes, explores the question of what it means to live life fully and happily, finding the balance between life's routine and the desire for something new.",bb967277222e689c,0,https://books.toscrape.com/catalogue/adultery_586/index.html
Arena,Science Fiction,£21.36,Four,In stock,"A fast-paced and gripping near-future science fiction debut about the gritty world of competitive gaming...Every week, Kali Ling fights to the death on national TV. She’s died hundreds of times. And it never gets easier... The RAGE tournaments—the Virtual Gaming League’s elite competition where the best gamers in the world compete in a no-holds-barred fight to the digital A fast-paced and gripping near-future science fiction debut about the gritty world of competitive gaming... Every week, Kali Ling fights to the death on national TV. She’s died hundreds of times. And it never gets easier...  The RAGE tournaments—the Virtual Gaming League’s elite competition where the best gamers in the world compete in a no-holds-barred fight to the digital death. Every bloody kill is broadcast to millions. Every player is a modern gladiator—leading a life of ultimate fame, responsible only for entertaining the masses.   And though their weapons and armor are digital, the pain is real.   Chosen to be the first female captain in RAGE tournament history, Kali Ling is at the top of the world—until one of her teammates overdoses. Now, she must confront the truth about the tournament. Because it is much more than a game—and even in the real world, not everything is as it seems.   The VGL hides dark secrets. And the only way to change the rules is to fight from the inside... ...more",2c34f9432069b52b,0,https://books.toscrape.com/catalogue/arena_587/index.html
Born for This: How to Find the Work You Were Meant to Do,Business,£21.59,Five,In stock,"To the outside observer, it seems like they’ve won the career lottery—that by some stroke of luck or circumstance, they’ve found the one thing they love so much that it doesn’t even feel like work, and they’re getting paid well to do it. In reality, their good fortune has nothing to do with chance. There’s a method for finding your perfect job, and Chris Guillebeau, the be To the outside observer, it seems like they’ve won the career lottery—that by some stroke of luck or circumstance, they’ve found the one thing they love so much that it doesn’t even feel like work, and they’re getting paid well to do it. In reality, their good fortune has nothing to do with chance. There’s a method for finding your perfect job, and Chris Guillebeau, the bestselling author of The $100 Startup, has created a practical guide for how to do it—whethe rwithin a traditional company or business, or by striking out on your own. Finding the work you were “born to do” isn’t just about discovering your passion. Doing what brings you joy is great, but if you aren’t earning a living, it’s a hobby, not a career. And those who jump out of bed excited to go to work every morning don’t just have jobs that turn their passions into paychecks. They have jobs where they also can lose themselves for hours in the flow of meaningful work. This intersection of joy, money, and flow is what Guillebeau will help you find in this book. Through inspiring stories of those who have successfully landed their dream career, as well as actionable tools, exercises, and thought experiments, he’ll guide you through today’s vast menu of career options to discover the work perfectly suited to your unique interests, skills, and experiences.You’ll learn how to:• Hack the job of your dreams within a traditional organization by making it work for you• Find not only your ideal work but also your ideal working conditions• Create plans that will allow you to take smarter career risks and “beat the house” every time• Start a profitable “side hustle” and earn extra cash on top of your primary stream of income• Escape the prison of working for someone else and build a mini-empire as an entrepreneur• Become a rock star at any creative endeavor by creating a loyal base of fans and followersWhichever path you choose, this book will show you how to find that one job or career that feels so right, it’s like you were born to do it. ...more",816180220e8cb419,0,https://books.toscrape.com/catalogue/born-for-this-how-to-find-the-work-you-were-meant-to-do_588/index.html
Daredevils,Fiction,£16.34,Three,In stock,"From the winner of 2014’s PEN Robert W. Bingham Prize, an unforgettable debut novel about Loretta, a teenager married off as a “sister wife,” who makes a break for freedomAt the heart of this exciting debut novel, set in Arizona and Idaho in the mid-1970s, is fifteen-year-old Loretta, who slips out of her bedroom every evening to meet her so-called gentile boyfriend. Her s From the winner of 2014’s PEN Robert W. Bingham Prize, an unforgettable debut novel about Loretta, a teenager married off as a “sister wife,” who makes a break for freedom At the heart of this exciting debut novel, set in Arizona and Idaho in the mid-1970s, is fifteen-year-old Loretta, who slips out of her bedroom every evening to meet her so-called gentile boyfriend. Her strict Mormon parents catch her returning one night, and promptly marry her off to Dean Harder, a devout yet materialistic fundamentalist who already has a wife and a brood of kids. The Harders relocate to his native Idaho, where Dean’s teenage nephew Jason falls hard for Loretta. A Zeppelin and Tolkien fan, Jason worships Evel Knievel and longs to leave his close-minded community. He and Loretta make a break for it. They drive all night, stay in hotels, and relish their dizzying burst of teenage freedom as they seek to recover Dean’s cache of “Mormon gold.” But someone Loretta left behind is on their trail... A riveting story of desire and escape, Daredevils boasts memorable set pieces and a rich cast of secondary characters. There’s Dean’s other wife, Ruth, who as a child in the 1950s was separated from her parents during the notorious Short Creek raid, when federal agents descended on a Mormon fundamentalist community. There’s Jason’s best friend, Boyd, part Native American and caught up in the activist spirit of the time, who comes along for the ride, with disastrous results. And Vestal’s ultimate creation is a superbly sleazy chatterbox—a man who might or might not be Evel Knievel himself—who works his charms on Loretta at a casino in Elko, Nevada.A lifelong journalist whose Spokesman column is a fixture in Spokane, WA, Shawn has honed his fiction over many years, publishing in journals like McSweeney's and Tin House. His stunning first collection, Godforsaken Idaho, burrowed into history as it engaged with masculinity and crime, faith and apostasy, and the West that he knows so well. Daredevils shows what he can do on a broader canvas--a fascinating, wide-angle portrait of a time and place that's both a classic coming of age tale and a plunge into the myths of America, sacred and profane. ...more",f608c903c451f387,0,https://books.toscrape.com/catalogue/daredevils_590/index.html
Cravings: Recipes for What You Want to Eat,Food and Drink,£20.50,Three,In stock,"Though she is best known as a supermodel and Sports Illustrated swimsuit covergirl, all Chrissy Teigen really wants to do is talk about dinner—the good, the greasy, the good-for-you, and the goof-ups. Stylish but brash, witty and big-hearted, Chrissy cooks beautifully, but with the spirit of the amateur. In this book, she shows us how to make cooking part of a stylish life Though she is best known as a supermodel and Sports Illustrated swimsuit covergirl, all Chrissy Teigen really wants to do is talk about dinner—the good, the greasy, the good-for-you, and the goof-ups. Stylish but brash, witty and big-hearted, Chrissy cooks beautifully, but with the spirit of the amateur. In this book, she shows us how to make cooking part of a stylish lifestyle and how to look good doing it…or at least how to laugh at ourselves if we don’t.“The thing that makes me happiest isn’t when people stop me in the street to say they saw me in a magazine, but when they say they were inspired to cook because of what I posted on Instagram,” Chrissy Teigen says. Despite being a professional Beautiful Person, Teigen took cooking classes, runs a popular food blog, and loves connecting her fans with food through her widely followed Twitter and Instagram accounts. In this book, she brings her passion for cooking to the forefront. Through 100 recipes that range from her mom’s Thai classics to her own creations and dishes taught to her by her chef friends, Chrissy will show us how easy it can be to make cooking accessible and fun. ...more",2587c54f5530dafc,0,https://books.toscrape.com/catalogue/cravings-recipes-for-what-you-want-to-eat_589/index.html
"Exit, Pursued by a Bear",Young Adult,£51.34,Four,In stock,"“I love you,” Polly says suddenly when I’m almost to the door.“I know,” I say.Hermione Winters has been a flyer. She’s been captain of her cheerleading team. The envied girlfriend and the undisputed queen of her school. Now it’s her last year and those days and those labels are fading fast. In a few months she’ll be a different person. She thinks she’s ready for whatever c “I love you,” Polly says suddenly when I’m almost to the door.“I know,” I say.Hermione Winters has been a flyer. She’s been captain of her cheerleading team. The envied girlfriend and the undisputed queen of her school. Now it’s her last year and those days and those labels are fading fast. In a few months she’ll be a different person. She thinks she’s ready for whatever comes next.But then someone puts something in her drink at a party, and in an instant she finds herself wearing new labels, ones she never imagined:Victim. Survivor. That raped girl.Even though this was never the future she imagined, one essential thing remains unchanged: Hermione can still call herself Polly Olivier’s best friend, and that may be the truest label of all.Heartbreaking and empowering, Exit, Pursued by a Bear is the story of transcendent friendship in the face of trauma.“I love you,” I say, because I really, really do.“I know,” says Polly. ...more",c65c25d990fc7025,0,https://books.toscrape.com/catalogue/exit-pursued-by-a-bear_591/index.html
Grey (Fifty Shades #4),Womens Fiction,£48.49,Four,In stock,"See the world of Fifty Shades of Grey anew through the eyes of Christian Grey.In Christian's own words, and through his thoughts, reflections, and dreams, E L James offers a fresh perspective on the love story that has enthralled millions of readers around the world.Christian Grey exercises control in all things; his world is neat, disciplined, and utterly empty—until the See the world of Fifty Shades of Grey anew through the eyes of Christian Grey.In Christian's own words, and through his thoughts, reflections, and dreams, E L James offers a fresh perspective on the love story that has enthralled millions of readers around the world.Christian Grey exercises control in all things; his world is neat, disciplined, and utterly empty—until the day that Anastasia Steele falls into his office, in a tangle of shapely limbs and tumbling brown hair. He tries to forget her, but instead is swept up in a storm of emotion he cannot comprehend and cannot resist. Unlike any woman he has known before, shy, unworldly Ana seems to see right through him—past the business prodigy and the penthouse lifestyle to Christian’s cold, wounded heart.  Will being with Ana dispel the horrors of his childhood that haunt Christian every night? Or will his dark sexual desires, his compulsion to control, and the self-loathing that fills his soul drive this girl away and destroy the fragile hope she offers him?This book is intended for mature audiences. ...more",b5953ca1f8a0b8d7,0,https://books.toscrape.com/catalogue/grey-fifty-shades-4_592/index.html
Keep Me Posted,Womens Fiction,£20.46,Four,In stock,"Two sisters share the surprising highs and cringe-worthy lows of social media fame, when their most private thoughts become incredibly public in this fresh and funny debut novel. Sisters Cassie and Sid Sunday have not done a bang-up job of keeping in touch. In their defense, it hasn’t been easy: life veered in sharply different directions for the once-close sisters. Today, Two sisters share the surprising highs and cringe-worthy lows of social media fame, when their most private thoughts become incredibly public in this fresh and funny debut novel. Sisters Cassie and Sid Sunday have not done a bang-up job of keeping in touch. In their defense, it hasn’t been easy: life veered in sharply different directions for the once-close sisters. Today, beautiful and big-hearted Sid lives an expat’s life of leisure in far-off Singapore, while harried, iPhone-clutching Cassie can’t seem to make it work as a wife and a mom to twin toddlers in Manhattan.   It doesn't help that Sid spurns all social media while Cassie is addicted to Facebook. So when Sid issues a challenge to reconnect the old-fashioned way—through real, handwritten letters—Cassie figures, why not?   The experiment exceeds both of their expectations, and the letters become a kind of mutual confessional that have real and soul-satisfying effects. And they just might have the power to help Cassie save her marriage, and give Sid the strength to get her life back on track.   But first, one of Cassie’s infamous lapses in judgment comes back to bite her, and all of the letters wind up the one place you’d never, ever want to see them: the Internet... ...more",20dc4f1ac5d4fd9c,0,https://books.toscrape.com/catalogue/keep-me-posted_594/index.html
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Psychology,£56.27,Three,In stock,"A groundbreaking approach to transforming traumatic legacies passed down in families over generations, by an acclaimed expert in the field Depression. Anxiety. Chronic Pain. Phobias. Obsessive thoughts. The evidence is compelling: the roots of these difficulties may not reside in our immediate life experience or in chemical imbalances in our brains—but in the lives of our A groundbreaking approach to transforming traumatic legacies passed down in families over generations, by an acclaimed expert in the field  Depression. Anxiety. Chronic Pain. Phobias. Obsessive thoughts. The evidence is compelling: the roots of these difficulties may not reside in our immediate life experience or in chemical imbalances in our brains—but in the lives of our parents, grandparents, and even great-grandparents. The latest scientific research, now making headlines, supports what many have long intuited—that traumatic experience can be passed down through generations. It Didn’t Start with You builds on the work of leading experts in post-traumatic stress, including Mount Sinai School of Medicine neuroscientist Rachel Yehuda and psychiatrist Bessel van der Kolk, author of The Body Keeps the Score. Even if the person who suffered the original trauma has died, or the story has been forgotten or silenced, memory and feelings can live on. These emotional legacies are often hidden, encoded in everything from gene expression to everyday language, and they play a far greater role in our emotional and physical health than has ever before been understood.   As a pioneer in the field of inherited family trauma, Mark Wolynn has worked with individuals and groups on a therapeutic level for over twenty years. It Didn’t Start with You offers a pragmatic and prescriptive guide to his method, the Core Language Approach. Diagnostic self-inventories provide a way to uncover the fears and anxieties conveyed through everyday words, behaviors, and physical symptoms. Techniques for developing a genogram or extended family tree create a map of experiences going back through the generations. And visualization, active imagination, and direct dialogue create pathways to reconnection, integration, and reclaiming life and health. It Didn’t Start With You is a transformative approach to resolving longstanding difficulties that in many cases, traditional therapy, drugs, or other interventions have not had the capacity to touch. ...more",ce8666d9b42fc9a0,0,https://books.toscrape.com/catalogue/it-didnt-start-with-you-how-inherited-family-trauma-shapes-who-we-are-and-how-to-end-the-cycle_593/index.html
M Train,Autobiography,£27.18,One,In stock,"From the National Book Award-winning author of Just Kids: an unforgettable odyssey into the mind of this legendary artist, told through the prism of cafés and haunts she has visited and worked in around the world.M Train is a journey through eighteen ""stations."" It begins in the tiny Greenwich Village café where Smith goes every morning for black coffee, ruminates on the w From the National Book Award-winning author of Just Kids: an unforgettable odyssey into the mind of this legendary artist, told through the prism of cafés and haunts she has visited and worked in around the world.M Train is a journey through eighteen ""stations."" It begins in the tiny Greenwich Village café where Smith goes every morning for black coffee, ruminates on the world as it is and the world as it was, and writes in her notebook. We then travel, through prose that shifts fluidly between dreams and reality, past and present, across a landscape of creative aspirations and inspirations: from Frida Kahlo's Casa Azul in Mexico, to a meeting of an Arctic explorer's society in Berlin; from the ramshackle seaside bungalow in New York's Far Rockaway that Smith buys just before Hurricane Sandy hits, to the graves of Genet, Plath, Rimbaud, and Mishima. Woven throughout are reflections on the writer's craft and on artistic creation, alongside signature memories including her life in Michigan with her husband, guitarist Fred Sonic Smith, whose untimely death was an irremediable loss. For it is loss, as well as the consolation we might salvage from it, that lies at the heart of this exquisitely told memoir, one augmented by stunning black-and-white Polaroids taken by Smith herself. M Train is a meditation on endings and on beginnings: a poetic tour de force by one of the most brilliant multiplatform artists at work today. ...more",5569c3fea112718e,0,https://books.toscrape.com/catalogue/m-train_598/index.html
Lilac Girls,Historical Fiction,£17.28,Two,In stock,"Inspired by the life of a real World War II heroine, this debut novel reveals a story of love, redemption, and secrets that were hidden for decades.New York socialite Caroline Ferriday has her hands full with her post at the French consulate and a new love on the horizon. But Caroline’s world is forever changed when Hitler’s army invades Poland in September 1939—and then s Inspired by the life of a real World War II heroine, this debut novel reveals a story of love, redemption, and secrets that were hidden for decades. New York socialite Caroline Ferriday has her hands full with her post at the French consulate and a new love on the horizon. But Caroline’s world is forever changed when Hitler’s army invades Poland in September 1939—and then sets its sights on France.   An ocean away from Caroline, Kasia Kuzmerick, a Polish teenager, senses her carefree youth disappearing as she is drawn deeper into her role as courier for the underground resistance movement. In a tense atmosphere of watchful eyes and suspecting neighbors, one false move can have dire consequences.   For the ambitious young German doctor, Herta Oberheuser, an ad for a government medical position seems her ticket out of a desolate life. Once hired, though, she finds herself trapped in a male-dominated realm of Nazi secrets and power.   The lives of these three women are set on a collision course when the unthinkable happens and Kasia is sent to Ravensbrück, the notorious Nazi concentration camp for women. Their stories cross continents—from New York to Paris, Germany, and Poland—as Caroline and Kasia strive to bring justice to those whom history has forgotten. ...more",bade9943ee01b63f,0,https://books.toscrape.com/catalogue/lilac-girls_597/index.html
Lab Girl,Autobiography,£40.85,One,In stock,"""A smart, enthralling, and winning debut.” —Cheryl Strayed Acclaimed scientist Hope Jahren has built three laboratories in which she’s studied trees, flowers, seeds, and soil. Her first book is a revelatory treatise on plant life—but it is also so much more. Lab Girl is a book about work, love, and the mountains that can be moved when those two things come together. It is ""A smart, enthralling, and winning debut.” —Cheryl Strayed   Acclaimed scientist Hope Jahren has built three laboratories in which she’s studied trees, flowers, seeds, and soil. Her first book is a revelatory treatise on plant life—but it is also so much more. Lab Girl is a book about work, love, and the mountains that can be moved when those two things come together. It is told through Jahren’s stories: about her childhood in rural Minnesota with an uncompromising mother and a father who encouraged hours of play in his classroom’s labs; about how she found a sanctuary in science, and learned to perform lab work done “with both the heart and the hands”; and about the inevitable disappointments, but also the triumphs and exhilarating discoveries, of scientific work.Yet at the core of this book is the story of a relationship Jahren forged with a brilliant, wounded man named Bill, who becomes her lab partner and best friend. Their sometimes rogue adventures in science take them from the Midwest across the United States and back again, over the Atlantic to the ever-light skies of the North Pole and to tropical Hawaii, where she and her lab currently make their home. ...more",825d6c44da3ca5a6,0,https://books.toscrape.com/catalogue/lab-girl_595/index.html
Lies and Other Acts of Love,Fiction,£45.14,One,In stock,"Dear Carolina was praised as “Southern fiction at its best.”* Now author Kristy Woodson Harvey presents a new novel about what it really means to tell the truth . . . After sixty years of marriage and five daughters, Lynn “Lovey” White knows that all of us, from time to time, need to use our little white lies. Her granddaughter, Annabelle, on the other hand, is as truth Dear Carolina was praised as “Southern fiction at its best.”* Now author Kristy Woodson Harvey presents a new novel about what it really means to tell the truth . . .   After sixty years of marriage and five daughters, Lynn “Lovey” White knows that all of us, from time to time, need to use our little white lies.   Her granddaughter, Annabelle, on the other hand, is as truthful as they come. She always does the right thing—that is, until she dumps her hedge fund manager fiancé and marries a musician she has known for three days. After all, her grandparents, who fell in love at first sight, have shared a lifetime of happiness, even through her grandfather’s declining health.   But when Annabelle’s world starts to collapse around her, she discovers that nothing about her picture-perfect family is as it seems. And Lovey has to decide whether one more lie will make or break the ones she loves . . . ...more",469508882dfc1991,0,https://books.toscrape.com/catalogue/lies-and-other-acts-of-love_596/index.html
"Mother, Can You Not?",Nonfiction,£16.89,Five,In stock,"Based on the wildly popular Instagram account @CrazyJewishMom, Kate Siegel's essay collection about life with the woman who redefined the term ""helicopter mom"" There is nothing more wonderful than a mother’s love. There is also nothing more annoying. Who else can proudly insist that you’re perfect while simultaneously making you question every career, fashion, andrelation Based on the wildly popular Instagram account @CrazyJewishMom, Kate Siegel's essay collection about life with the woman who redefined the term ""helicopter mom""   There is nothing more wonderful than a mother’s love. There is also nothing more annoying. Who else can proudly insist that you’re perfect while simultaneously making you question every career, fashion, and relationship decision you have ever made?   No one understands the delicate mother-daughter dynamic better than Kate Siegel—her own mother drove her so crazy that she decided to broadcast their hilarious conversations on Instagram. Soon, hundreds of thousands of people were following their daily text exchanges, eager to see what outrageous thing Kate’s mom would do next. Now, in Mother, Can You NOT?, Kate pays tribute to the woman who invented the concept of drone parenting.  From embarrassing moments (like crashing Kate's gynecological exams) to outrageous stories (like the time she made Kate steal a cat from the pound) to hilarious celebrations (including but not limited to parties for Kate's menstrual cycles), Mother, Can you NOT? lovingly lampoons the lengths to which our mothers will go to better our lives (even if it feels like they’re ruining them in the process). ...more",28b2df9fadc9f07e,0,https://books.toscrape.com/catalogue/mother-can-you-not_599/index.html
Mothering Sunday,Fiction,£13.34,Two,In stock,"From the Booker Award winner: a luminous, profoundly moving work of fiction that begins with an afternoon tryst in 1924 between a servant girl and the young man of the neighboring house, but then opens to reveal the whole life of a remarkable woman.Twenty-two year old Jane Fairchild, orphaned at birth, has worked as a maid at one English country estate since she was sixtee From the Booker Award winner: a luminous, profoundly moving work of fiction that begins with an afternoon tryst in 1924 between a servant girl and the young man of the neighboring house, but then opens to reveal the whole life of a remarkable woman.Twenty-two year old Jane Fairchild, orphaned at birth, has worked as a maid at one English country estate since she was sixteen. And for almost all of those years she has been the secret lover to Paul Sheringham, the scion of the estate next door. On an unseasonably warm March afternoon, Jane and Paul will make love for the last time--though not, as Jane believes, because Paul is about to be married--and the events of the day will alter Jane's life forever. As the narrative moves back and forth from 1924 to the end of the century, what we know and understand about Jane--about the way she loves, thinks, feels, sees, remembers--deepens with every beautifully wrought moment. Her story is one of profound self-discovery and through her, Graham Swift has created an emotionally soaring and deeply affecting work of fiction. ...more",47e1b2d43f709995,0,https://books.toscrape.com/catalogue/mothering-sunday_600/index.html
Silence in the Dark (Logan Point #4),Suspense,£58.33,Three,In stock,"Two years ago, Bailey Adams broke off her engagement to Danny Maxwell and fled Logan Point for the mission field in Chihuahua, Mexico. Now she's about to return home to the States, but there's just one problem. After Bailey meets with the uncle of one of the mission children in the city, she barely escapes a sudden danger. Now she's on the run--she just doesn't know from w Two years ago, Bailey Adams broke off her engagement to Danny Maxwell and fled Logan Point for the mission field in Chihuahua, Mexico. Now she's about to return home to the States, but there's just one problem. After Bailey meets with the uncle of one of the mission children in the city, she barely escapes a sudden danger. Now she's on the run--she just doesn't know from whom. To make matters worse, people who help her along the way find themselves in danger too--including Danny. Who is after her? Will they ever let up? And in the midst of the chaos, can Bailey keep herself from falling in love with her rescuer all over again?With lean, fast-paced prose that keeps readers turning the pages, Patricia Bradley pens a superb story of suspense and second chances. ...more",e46a164cf310fd7d,0,https://books.toscrape.com/catalogue/silence-in-the-dark-logan-point-4_542/index.html
Shadows of the Past (Logan Point #1),Christian Fiction,£39.67,Five,In stock,"Psychology professor and criminal profiler Taylor Martin prides herself on being able to solve any crime, except the one she wants most desperately to solve--the disappearance of her father twenty years ago. When she finally has a lead on his whereabouts, Taylor returns home to Logan Point, Mississippi, to investigate. But as she is stalking the truth about the past, someo Psychology professor and criminal profiler Taylor Martin prides herself on being able to solve any crime, except the one she wants most desperately to solve--the disappearance of her father twenty years ago. When she finally has a lead on his whereabouts, Taylor returns home to Logan Point, Mississippi, to investigate. But as she is stalking the truth about the past, someone is stalking her.Nick Sinclair pens mystery novels for a living, but the biggest mystery to him is how he can ever get over the death of his wife--a tragedy he believes he could have prevented. With his estranged brother the only family he has left, Nick sets out to find him. But when he crosses paths with Taylor, all he seems to find is trouble. ...more",bee6e93e9976f4fa,0,https://books.toscrape.com/catalogue/shadows-of-the-past-logan-point-1_541/index.html
South of Sunshine,Young Adult,£28.93,One,In stock,"What is Kaycee willing to risk for the sake of love? And what will she risk for acceptance?In Sunshine, Tennessee, the main event in town is Friday night football, the biggest party of the year is held in a field filled with pickup trucks, and church attendance is mandatory. For Kaycee Jean McCoy, life in Sunshine means dating guys she has no interest in, saying only “yes, What is Kaycee willing to risk for the sake of love? And what will she risk for acceptance?In Sunshine, Tennessee, the main event in town is Friday night football, the biggest party of the year is held in a field filled with pickup trucks, and church attendance is mandatory. For Kaycee Jean McCoy, life in Sunshine means dating guys she has no interest in, saying only “yes, ma’am” when the local bigots gossip at her mom’s cosmetics salon, and avoiding certain girls at all costs. Girls like Bren Dawson.Unlike Kaycee, Bren doesn’t really conceal who she is. But as the cool, worldly new girl, nobody at school seems to give her any trouble. Maybe there’s no harm if Kaycee gets closer to her too, as long as she can keep that part of her life a secret, especially from her family and her best friend. But the more serious things get with Bren, the harder it is to hide from everyone else. Kaycee knows Sunshine has a darker side for people like her, and she’s risking everything for the chance to truly be herself. ...more",331c26103d885cae,0,https://books.toscrape.com/catalogue/south-of-sunshine_544/index.html
Smarter Faster Better: The Secrets of Being Productive in Life and Business,Nonfiction,£38.89,Five,In stock,"A new book that explores the science of productivity, and why, in today’s world, managing how you think—rather than what you think—can transform your life.",a2475a245c9907c4,0,https://books.toscrape.com/catalogue/smarter-faster-better-the-secrets-of-being-productive-in-life-and-business_543/index.html
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Business,£36.91,One,In stock,"E-Myth  'e-,'mith n 1: the entrepreneurial myth: the myth that most people who start small businesses are entrepreneurs 2: the fatal assumption that an individual who understands the technical work of a business can successfully run a business that does that technical workVoted #1 business book by Inc. 500 CEOs.An instant classic, this revised and updated edition of the E-Myth  'e-,'mith n 1: the entrepreneurial myth: the myth that most people who start small businesses are entrepreneurs 2: the fatal assumption that an individual who understands the technical work of a business can successfully run a business that does that technical workVoted #1 business book by Inc. 500 CEOs.An instant classic, this revised and updated edition of the phenomenal bestseller dispels the myths about starting your own business. Small business consultant and author Michael E. Gerber, with sharp insight gained from years of experience, points out how common assumptions, expectations, and even technical expertise can get in the way of running a successful business.Gerber walks you through the steps in the life of a business—from entrepreneurial infancy through adolescent growing pains to the mature entrepreneurial perspective: the guiding light of all businesses that succeed—and shows how to apply the lessons of franchising to any business, whether or not it is a franchise. Most importantly, Gerber draws the vital, often overlooked distinction between working on your business and working in your business.The E-Myth Revisited will help you grow your business in a productive, assured way. ...more",a2308a936e898d48,0,https://books.toscrape.com/catalogue/the-e-myth-revisited-why-most-small-businesses-dont-work-and-what-to-do-about-it_545/index.html
The Grownup,Short Stories,£35.88,One,In stock,"A canny young woman is struggling to survive by perpetrating various levels of mostly harmless fraud. On a rainy April morning, she is reading auras at Spiritual Palms when Susan Burke walks in. A keen observer of human behavior, our unnamed narrator immediately diagnoses beautiful, rich Susan as an unhappy woman eager to give her lovely life a drama injection. However, wh A canny young woman is struggling to survive by perpetrating various levels of mostly harmless fraud. On a rainy April morning, she is reading auras at Spiritual Palms when Susan Burke walks in. A keen observer of human behavior, our unnamed narrator immediately diagnoses beautiful, rich Susan as an unhappy woman eager to give her lovely life a drama injection. However, when the ""psychic"" visits the eerie Victorian home that has been the source of Susan's terror and grief, she realizes she may not have to pretend to believe in ghosts anymore. Miles, Susan's teenage stepson, doesn't help matters with his disturbing manner and grisly imagination. The three are soon locked in a chilling battle to discover where the evil truly lurks and what, if anything, can be done to escape it. ...more",1bba4b1ba23ed2d6,0,https://books.toscrape.com/catalogue/the-grownup_546/index.html
The High Mountains of Portugal,Fiction,£51.15,One,In stock,"In Lisbon in 1904, a young man named Tomás discovers an old journal. It hints at the existence of an extraordinary artifact that—if he can find it—would redefine history. Traveling in one of Europe’s earliest automobiles, he sets out in search of this strange treasure.Thirty-five years later, a Portuguese pathologist devoted to the murder mysteries of Agatha Christie finds In Lisbon in 1904, a young man named Tomás discovers an old journal. It hints at the existence of an extraordinary artifact that—if he can find it—would redefine history. Traveling in one of Europe’s earliest automobiles, he sets out in search of this strange treasure.Thirty-five years later, a Portuguese pathologist devoted to the murder mysteries of Agatha Christie finds himself at the center of a mystery of his own and drawn into the consequences of Tomás’s quest.Fifty years on, a Canadian senator takes refuge in his ancestral village in northern Portugal, grieving the loss of his beloved wife. But he arrives with an unusual companion: a chimpanzee. And there the century-old quest will come to an unexpected conclusion.The High Mountains of Portugal—part quest, part ghost story, part contemporary fable—offers a haunting exploration of great love and great loss. Filled with tenderness, humor, and endless surprise, it takes the reader on a road trip through Portugal in the last century—and through the human soul. ...more",4f283dfcbeccc0d4,0,https://books.toscrape.com/catalogue/the-high-mountains-of-portugal_547/index.html
The Martian (The Martian #1),Default,£41.39,Two,In stock,"A mission to Mars.A freak accident.One man's struggle to survive.Six days ago, astronaut Mark Watney became one of the first people to walk on Mars. Now, he's sure he'll be the first person to die there.After a dust storm nearly kills him and forces his crew to evacuate the planet while thinking him dead, Mark finds himself stranded on Mars' surface, completely alone, with A mission to Mars.A freak accident.One man's struggle to survive.Six days ago, astronaut Mark Watney became one of the first people to walk on Mars. Now, he's sure he'll be the first person to die there.After a dust storm nearly kills him and forces his crew to evacuate the planet while thinking him dead, Mark finds himself stranded on Mars' surface, completely alone, with no way to signal Earth that he’s alive. And even if he could get word out, his supplies would be gone years before a rescue could arrive.Chances are, though, Mark won't have time to starve to death. The damaged machinery, unforgiving environment or plain-old ""human error"" are much more likely to kill him first. But Mark's not ready to quit. Armed with nothing but his ingenuity and his engineering skills—and a gallows sense of humor that proves to be his greatest source of strength–he embarks on a dogged quest to stay alive, using his botany expertise to grow food and even hatching a mad plan to contact NASA back on Earth.As he overcomes one seemingly insurmountable obstacle after the next, Mark begins to let himself believe he might make it off the planet alive.But Mars has plenty of surprises in store for him yet.Grounded in real, present-day science from the first page to the last, yet propelled by a brilliantly ingenious plot that surprises the reader again and again, The Martian is a truly remarkable thriller: an impossible-to-put-down suspense novel that manages to read like a real-life survival tale. ...more",9afd00e81d6208e6,0,https://books.toscrape.com/catalogue/the-martian-the-martian-1_548/index.html
